fato_vendas.id_venda,fato_vendas.id_nfe,fato_vendas.id_emitente,fato_vendas.id_data,fato_vendas.id_localidade,fato_vendas.valor_total,fato_vendas.valor_produtos,fato_vendas.valor_desconto
68,NFe29221267140958000159550030000380361546179780,69,68,5,119.32,119.32,0.0
69,NFe29241032751869000164550030002408371657274621,37,90,5,56.76,57.03,0.27
70,NFe31190921560843000112550030001348861999447678,25,29,11,120.97,125.14,4.17
71,NFe31210963298745000107550020002173691141379901,67,51,11,117.42,117.57,0.15
72,NFe31221081579046000109550010001956251369912330,86,64,11,132.99,132.99,0.0
73,NFe32221129573406000145550030003519341193744946,35,66,8,129.4,136.14,6.74
74,NFe33180538052974000191550010008930671191966078,41,4,18,45.87,45.87,0.0
75,NFe33211120671549000115550020007015861391958787,23,53,18,106.56,107.52,0.96
76,NFe33211120671549000115550020007015861391958787,23,52,18,106.56,107.52,0.96
77,NFe33240848596213000154550030001777511866462520,51,88,18,255.77,256.74,0.97
78,NFe33240848596213000154550030001777511866462520,51,87,18,255.77,256.74,0.97
79,NFe35210206714925000180550010005252081785405739,10,47,24,15.72,15.72,0.0
80,NFe35220528695410000113550030000741481349658530,34,55,24,187.97,192.07,4.1
81,NFe35220613892074000121550020009762191591267899,19,59,24,82.01,84.14,2.13
82,NFe35240574290356000143550030004044801866056005,81,84,24,60.43,60.43,0.0
83,NFe35250805768142000117550030008513001222121415,9,96,24,40.9,41.45,0.55
84,NFe41190961304298000118550010005463491342660200,66,28,17,148.73,151.59,2.86
85,NFe42190357349802000129550010006760451984910597,59,21,22,18.28,18.28,0.0
86,NFe42210626578941000109550030001453551826325023,31,49,22,14.87,14.87,0.0
87,NFe42220912975480000195550010001429771904380789,17,62,22,39.13,39.13,0.0
88,NFe42221072643850000119550010003331301608944298,79,63,22,57.02,57.26,0.24
89,NFe42240897360548000184550010000321761521560385,99,86,22,121.28,127.4,6.12
90,NFe50191039256740000129550020004495561788077967,42,30,12,76.26,76.26,0.0
91,NFe50240619685724000144550010005234531198109940,22,85,12,19.21,20.46,1.25
92,NFe51180565902148000167550010005798881558274194,68,5,13,6.28,6.28,0.0
93,NFe51190279386412000161550010005382201152475111,85,20,13,32.73,32.73,0.0
94,NFe51191113640928000182550020002101071902301296,18,31,13,119.71,121.17,1.46
95,NFe51201114786592000123550030008848471541606296,21,40,13,49.14,50.61,1.47
96,NFe51210107698153000101550010003071721589229820,11,46,13,64.24,64.24,0.0
97,NFe51220514726980000119550010007420261974676966,20,56,13,148.29,152.9,4.61
98,NFe52190157216438000129550010006484861445471459,58,19,9,194.28,194.69,0.41
99,NFe52190157216438000129550010006484861445471459,58,18,9,194.28,194.69,0.41
100,NFe52211194608372000149550030000332971245252450,95,53,9,66.41,66.41,0.0
101,NFe52211194608372000149550030000332971245252450,95,52,9,66.41,66.41,0.0
102,NFe52220859280417000106550030004418941361827726,63,61,9,35.02,35.78,0.76
103,NFe52230201627395000110550020008366981826692457,1,69,9,246.57,246.98,0.41
104,NFe52251242875316000177550020000872991821143970,47,100,9,15.21,15.21,0.0
105,NFe53181086725049000127550010009073691819436578,90,12,7,37.52,37.52,0.0
106,NFe53191109438276000120550030006359781604041743,12,32,7,87.09,88.9,1.81
107,NFe53221171968234000175550020004842571779702440,77,65,7,45.57,45.57,0.0
