dim_emitente.id_emitente,dim_emitente.cnpj,dim_emitente.nome,dim_emitente.uf,dim_emitente.municipio
41,38052974000191,VIANA ATACAREJO LTDA,RJ,FONSECA DE DA ROCHA
42,39256740000129,ALBUQUERQUE HIPERMERCADO LTDA,MS,FONSECA
43,40879132000150,PASTOR MERCADO LTDA,PA,APARECIDA DE COSTELA
44,41268370000191,ROCHA MERCADO LTDA,AP,DAS NEVES
45,41968357000145,PEREIRA MERCADO LTDA,RO,DA CUNHA
46,42865713000168,BRITO SUPERMERCADOS LTDA,AM,DA COSTA DO OESTE
47,42875316000177,MOREIRA MERCADINHO LTDA,GO,NOGUEIRA DE OLIVEIRA
48,46583021000188,SANTOS SUPERMERCADO LTDA,AP,MACEDO
49,48169725000134,ABREU MERCEARIA LTDA,AL,CAVALCANTE DA PRATA
50,48326059000109,RIOS SUPERMERCADO LTDA,PB,ROCHA DA PRAIA
51,48596213000154,PEIXOTO HIPERMERCADO LTDA,RJ,DAS NEVES GRANDE
52,49256018000148,CASTRO HIPERMERCADO LTDA,RN,NOVAES
53,51739026000197,PINTO HIPERMERCADO LTDA,PA,BORGES
54,52149708000102,JESUS MERCADINHO LTDA,RN,MENDES
55,53716094000166,SILVA MERCEARIA LTDA,RO,CALDEIRA
56,53974062000160,RIOS SUPERMERCADO LTDA,AM,REZENDE DO GALHO
57,54869370000199,PACHECO MERCADO LTDA,RO,DA CRUZ DE LIMA
58,57216438000129,DA ROSA ATACAREJO LTDA,GO,OLIVEIRA
59,57349802000129,FREITAS MERCADINHO LTDA,SC,NUNES DE GONÇALVES
60,57431082000146,SANTOS SUPERMERCADO LTDA,PB,GARCIA
61,58367192000159,ARAÚJO SUPERMERCADOS LTDA,AL,AZEVEDO
62,58370469000100,DA CRUZ ATACAREJO LTDA,CE,CALDEIRA VERDE
63,59280417000106,RIOS ATACAREJO LTDA,GO,ALMEIDA
64,59802361000102,SALES MERCADO LTDA,BA,MONTEIRO
65,60149872000148,FARIAS ATACAREJO LTDA,RO,ROCHA DE MINAS
66,61304298000118,CAVALCANTI ATACAREJO LTDA,PR,CUNHA DA PRAIA
67,63298745000107,ALMEIDA MERCEARIA LTDA,MG,DA CRUZ DO AMPARO
68,65902148000167,MENDES MERCEARIA LTDA,MT,GUERRA DE DA ROSA
69,67140958000159,BRITO SUPERMERCADO LTDA,BA,FERNANDES DO CAMPO
70,67452098000199,FERREIRA ATACAREJO LTDA,PE,ARAÚJO DA PRAIA
71,68172439000135,MENDES MERCEARIA LTDA,BA,FARIAS DA MATA
72,68395241000110,DA COSTA MERCADO LTDA,RO,AZEVEDO
73,68721493000192,CAVALCANTI MERCEARIA LTDA,RR,ARAGÃO
74,68740251000146,CORREIA HIPERMERCADO LTDA,SE,PACHECO
75,71934620000146,VASCONCELOS MERCADINHO LTDA,PA,PIMENTA ALEGRE
76,71952803000194,SILVA ATACAREJO LTDA,AM,DIAS
77,71968234000175,DA LUZ MERCADINHO LTDA,DF,BARROS
78,72569843000114,DA ROCHA HIPERMERCADO LTDA,PE,MARTINS DE RODRIGUES
79,72643850000119,MONTENEGRO ATACAREJO LTDA,SC,CASSIANO DA MATA
80,73416928000125,DA PAZ ATACAREJO LTDA,PA,CAVALCANTI DO OESTE
81,74290356000143,CORREIA SUPERMERCADO LTDA,SP,MORAES
82,76093481000199,PASTOR SUPERMERCADOS LTDA,AM,DA PAZ
83,76385124000102,SILVEIRA HIPERMERCADO LTDA,AM,PIRES DOS DOURADOS
84,76590128000114,GUERRA MERCADINHO LTDA,CE,PASTOR ALEGRE
85,79386412000161,BARROS MERCADINHO LTDA,MT,ARAGÃO
86,81579046000109,LOPES SUPERMERCADO LTDA,MG,PEREIRA DO AMPARO
87,81743625000145,PASTOR SUPERMERCADOS LTDA,RR,MORAES
88,82563910000147,MACEDO MERCADO LTDA,SE,NUNES
89,84620519000162,MELO MERCADO LTDA,AC,MACHADO
90,86725049000127,ARAÚJO SUPERMERCADO LTDA,DF,CORREIA DA PRAIA
91,87314290000126,MARQUES HIPERMERCADO LTDA,AC,LIMA DO CAMPO
92,87352046000158,SALES ATACAREJO LTDA,MA,CASA GRANDE
93,92075836000173,VASCONCELOS MERCEARIA LTDA,RN,COSTA PAULISTA
94,93567420000135,ROCHA MERCADINHO LTDA,BA,ARAÚJO DE PIRES
95,94608372000149,MACHADO MERCADO LTDA,GO,PINTO
96,95724103000100,PIMENTA MERCADO LTDA,PA,REZENDE DE MINAS
97,95804276000139,FERNANDES SUPERMERCADOS LTDA,AP,DA COSTA DE JESUS
98,96205487000118,ALMEIDA SUPERMERCADOS LTDA,AM,ARAGÃO
99,97360548000184,PEIXOTO SUPERMERCADO LTDA,SC,VASCONCELOS DO CAMPO
100,97543628000175,OLIVEIRA ATACAREJO LTDA,AL,LOPES DA PRAIA
